product_id,name,category,price,stock,description,specification
FOOD-002,泰国火山金枕榴莲 B级 5斤,食品生鲜,99.5,587,B果性价比拉满，日常解馋无压力，香甜软糯,"{""产地"": ""泰国"", ""规格"": ""5斤装"", ""等级"": ""B级"", ""特色"": ""高性价比""}"
PHONE-015,Redmi Note 17 Pro,手机,1599.0,961,一亿像素主摄，OLED直屏，千元影像标杆，学生党首选,"{""处理器"": ""天玑7300"", ""屏幕"": ""6.67英寸OLED"", ""主摄"": ""1亿像素"", ""电池"": ""5500mAh""}"
PHONE-020,OPPO A5 Pro,手机,2499.0,768,12+512GB大存储，耐用战神，防水抗摔，长续航备用机首选,"{""处理器"": ""天玑7050"", ""屏幕"": ""6.7英寸"", ""存储"": ""12+512GB"", ""特色"": ""抗摔防水""}"
HOME-014,海尔 12公斤洗烘一体机,家用电器,21999.0,544,水电一体集成，AI鲜护风巡航，AI人感语音，旗舰洗烘套装,"{""洗烘容量"": ""12kg/12kg"", ""特色"": ""AI智能"", ""烘干"": ""热泵式"", ""控制"": ""语音控制""}"
HOME-004,戴森 HD15 吹风机,家用电器,2402.0,852,负离子护发，速干不伤发，防飞翘顺发风嘴,"{""颜色"": ""紫红色"", ""功率"": ""1600W"", ""特色"": ""防飞翘"", ""重量"": ""310g""}"
CLOTH-014,皮尔卡丹男士加厚羽绒服,服装鞋帽,752.0,261,白鸭绒加厚保暖，抗皱百搭，可脱卸内胆，中年商务款,"{""颜色"": ""藏青"", ""尺码"": ""3XL"", ""含绒量"": ""90%白鸭绒"", ""特色"": ""可脱卸内胆""}"
HOME-027,美的 空气净化器,家用电器,899.0,197,HEPA滤网，除甲醛除PM2.5，负离子净化，居家健康,"{""CADR值"": ""400m³/h"", ""滤网"": ""HEPA H13"", ""特色"": ""除甲醛"", ""噪音"": ""低噪模式""}"
PHONE-003,iPhone 17,手机,5999.0,11,A19芯片，全新设计，灵动岛，主摄升级，标准版也很强,"{""处理器"": ""A19"", ""屏幕"": ""6.1英寸OLED"", ""存储"": ""128GB起"", ""电池"": ""3349mAh""}"
DIGI-007,华为 FreeBuds SE 3,数码,399.0,184,半入耳式舒适佩戴，高音质表现，超长续航，性价比之选,"{""颜色"": ""白色"", ""连接方式"": ""蓝牙5.4"", ""续航"": ""9小时"", ""佩戴方式"": ""半入耳""}"
PHONE-025,荣耀 Magic V6 折叠屏,手机,8999.0,777,折叠屏旗舰，轻薄耐用，大屏体验，生产力工具,"{""处理器"": ""骁龙8至尊版"", ""外屏"": ""6.43英寸"", ""内屏"": ""7.92英寸"", ""厚度"": ""9.9mm""}"
DIGI-019,华为 Sound X 4,数码,2199.0,844,帝瓦雷联合设计，三分频Hi-Fi音质，鸿蒙一碰传音，智能音箱,"{""颜色"": ""星空黑"", ""功率"": ""100W"", ""连接方式"": ""蓝牙/WiFi"", ""特色"": ""帝瓦雷调音""}"
PC-011,联想小新 16 2025,电脑,3798.0,58,16英寸大屏，24+512G配置，OLED触控屏，学生党首选,"{""处理器"": ""R7-8845H"", ""内存"": ""24GB"", ""存储"": ""512GB SSD"", ""屏幕"": ""16英寸OLED"", ""特色"": ""高性价比""}"
HOME-007,美的电磁炉 C21-WK2102T,家用电器,151.8,344,2200W大功率滑控调节，多功能触摸式，节能电磁灶,"{""功率"": ""2200W"", ""控制方式"": ""触摸式"", ""面板"": ""黑晶面板"", ""特色"": ""多功能""}"
CLOTH-003,Adidas Ultraboost 23 跑鞋,服装鞋帽,1099.0,482,Boost中底极致缓震，编织鞋面透气舒适，旗舰慢跑鞋,"{""颜色"": ""黑白"", ""尺码"": ""42"", ""中底"": ""Boost"", ""鞋面"": ""Primeknit编织""}"
FOOD-007,新疆阿克苏冰糖心苹果 10斤,食品生鲜,45.9,138,冰糖心丑苹果，脆甜多汁，正宗新疆特产,"{""产地"": ""新疆阿克苏"", ""规格"": ""10斤装"", ""特色"": ""冰糖心"", ""口感"": ""脆甜""}"
DIGI-003,Apple AirPods 4 主动降噪版,数码,1299.0,555,支持主动降噪，USB-C接口，快速充电超长续航,"{""颜色"": ""白色"", ""连接方式"": ""蓝牙5.3"", ""续航"": ""5.5小时"", ""充电接口"": ""USB-C""}"
DIGI-029,Kindle Paperwhite 电子书阅读器,数码,998.0,154,6.8英寸墨水屏，防水设计，护眼阅读，沉浸式看书体验,"{""屏幕"": ""6.8英寸墨水屏"", ""存储"": ""8GB"", ""防水"": ""IPX8"", ""续航"": ""数周""}"
FOOD-012,圣牧儿童纯牛奶 益生元配方,食品生鲜,47.5,75,有机奶源，益生元配方，专为儿童设计，营养好吸收,"{""规格"": ""200ml×12包"", ""适用人群"": ""儿童"", ""特色"": ""益生元"", ""认证"": ""有机""}"
PHONE-021,vivo X200 Ultra,手机,6499.0,702,蔡司2亿像素APO长焦，天玑9400，影像天花板，专业级拍照,"{""处理器"": ""天玑9400"", ""屏幕"": ""6.78英寸OLED"", ""长焦"": ""2亿像素APO"", ""影像"": ""蔡司调校""}"
HOME-021,飞利浦 Sonicare 电动牙刷,家用电器,399.0,939,声波震动技术，智能计时，护龈模式，口腔清洁神器,"{""震动频率"": ""31000次/分钟"", ""模式"": ""3种清洁模式"", ""续航"": ""14天"", ""压力感应"": ""是""}"
DIGI-025,罗技 MX Master 3S 无线鼠标,数码,699.0,228,8K DPI高精度传感器，静音按键，电磁滚轮，办公旗舰鼠标,"{""DPI"": ""8000"", ""连接方式"": ""蓝牙/接收器"", ""续航"": ""70天"", ""按键数"": ""7键""}"
FOOD-030,元气森林气泡水 白桃味 480ml×15瓶,食品生鲜,69.9,885,0糖0脂0卡，白桃清新口味，气泡充足，好喝无负担,"{""规格"": ""480ml×15瓶"", ""口味"": ""白桃味"", ""特色"": ""0糖0脂0卡"", ""品牌"": ""元气森林""}"
FOOD-001,泰国金枕榴莲 A级 3斤装,食品生鲜,89.7,716,A果品质，果肉饱满绵密，果香浓郁，榴莲资深爱好者必入,"{""产地"": ""泰国"", ""规格"": ""3斤装"", ""等级"": ""A级"", ""储存"": ""冷藏""}"
DIGI-017,小米 Watch S3,数码,899.0,526,无感血压风险评估，ECG心电图功能，全天候健康监测,"{""表盘尺寸"": ""1.43英寸"", ""续航"": ""15天"", ""特色"": ""ECG心电图"", ""防水"": ""5ATM""}"
CLOTH-019,海澜之家男士纯棉T恤,服装鞋帽,99.0,897,纯棉舒适，简约百搭，多色可选，男士基础款T恤,"{""颜色"": ""白色"", ""尺码"": ""XL"", ""材质"": ""100%棉"", ""领型"": ""圆领""}"
HOME-010,美的 5.2KW燃气灶,家用电器,899.0,0,5.2KW猛火灶，一级能效，钢化玻璃面板，台嵌两用,"{""火力"": ""5.2KW"", ""能效"": ""一级"", ""面板"": ""钢化玻璃"", ""安装"": ""台嵌两用""}"
PHONE-011,小米 17,手机,3999.0,202,骁龙8至尊版，徕卡光学镜头，旗舰性能，标准版也Pro,"{""处理器"": ""骁龙8至尊版"", ""屏幕"": ""6.36英寸OLED"", ""存储"": ""8+256GB"", ""系统"": ""HyperOS 3.0""}"
DIGI-012,索尼 WH-1000XM5,数码,2999.0,799,HD降噪处理器，声音均衡干净通透，头戴式降噪标杆产品,"{""颜色"": ""黑色"", ""连接方式"": ""蓝牙5.2"", ""续航"": ""30小时"", ""编码"": ""LDAC""}"
FOOD-005,泰国山竹 6A级 5斤装,食品生鲜,48.8,715,进口特级油麻竹，大果果肉饱满，清甜降火水果皇后,"{""产地"": ""泰国"", ""规格"": ""5斤装"", ""等级"": ""6A大果"", ""品种"": ""油麻竹""}"
PC-005,MacBook Neo,电脑,9499.0,258,A18 Pro芯片，全新设计，超轻薄便携，苹果新系列,"{""处理器"": ""Apple A18 Pro"", ""内存"": ""8GB"", ""存储"": ""256GB SSD"", ""屏幕"": ""13英寸"", ""重量"": ""约1kg""}"
PC-017,惠普暗影精灵10,电脑,6499.0,766,酷睿i7+RTX 4060，2.5K高刷屏，性价比游戏本,"{""处理器"": ""i7-13650HX"", ""内存"": ""16GB"", ""存储"": ""512GB SSD"", ""显卡"": ""RTX 4060"", ""屏幕"": ""16.1英寸2.5K""}"
PC-027,RedmiBook Pro 14 2025,电脑,3299.0,253,锐龙版高性能，2.5K 120Hz屏，千元价位性价比之王,"{""处理器"": ""R5-7640H"", ""内存"": ""16GB"", ""存储"": ""512GB SSD"", ""屏幕"": ""14英寸2.5K 120Hz"", ""定位"": ""高性价比""}"
PHONE-004,iPhone 17 Plus,手机,6999.0,684,A19芯片，大屏长续航，双卡双待，大屏用户首选,"{""处理器"": ""A19"", ""屏幕"": ""6.7英寸OLED"", ""存储"": ""128GB起"", ""电池"": ""4422mAh""}"
CLOTH-002,Nike Zoom Fly 6 跑步鞋,服装鞋帽,999.0,787,碳板竞速跑鞋，ZoomX中底，专业马拉松训练鞋,"{""颜色"": ""白红"", ""尺码"": ""42"", ""中底"": ""ZoomX"", ""科技"": ""全掌碳板""}"
DIGI-027,西部数据 2TB 移动固态硬盘,数码,599.0,635,读取速度1050MB/s，Type-C接口，小巧便携，数据备份首选,"{""容量"": ""2TB"", ""读取速度"": ""1050MB/s"", ""接口"": ""USB 3.2 Gen2 Type-C"", ""重量"": ""58g""}"
CLOTH-009,PUMA彪马 复古厚底板鞋,服装鞋帽,539.0,234,经典复古增高厚底小白鞋，运动休闲板鞋，男女同款,"{""颜色"": ""白色"", ""尺码"": ""40"", ""风格"": ""复古板鞋"", ""鞋底"": ""厚底增高""}"
PHONE-016,OPPO Find X8 Ultra,手机,6999.0,542,双潜望长焦，哈苏影像，天玑9400芯片，超大杯影像旗舰,"{""处理器"": ""天玑9400"", ""屏幕"": ""6.82英寸OLED"", ""特色"": ""双潜望长焦"", ""影像"": ""哈苏调校""}"
HOME-015,海尔 WM31 电热水器,家用电器,1299.0,568,60升大容量，3300W速热，金刚无缝胆，安全防电墙,"{""容量"": ""60L"", ""功率"": ""3300W"", ""内胆"": ""金刚无缝胆"", ""安全"": ""防电墙""}"
DIGI-018,三星 Galaxy Watch Ultra 2,数码,4299.0,144,卓越户外性能，精准定位心率睡眠血氧监测，专业户外手表,"{""表盘尺寸"": ""47mm"", ""续航"": ""100小时"", ""特色"": ""户外专业"", ""系统"": ""Wear OS""}"
PC-024,华硕ProArt 创16 锐龙AI版,电脑,17999.0,437,专业创作本，4K OLED触控屏，RTX 4070，设计师神器,"{""处理器"": ""锐龙AI 9 HX 370"", ""内存"": ""32GB"", ""存储"": ""1TB SSD"", ""显卡"": ""RTX 4070"", ""屏幕"": ""16英寸4K OLED""}"
PC-020,ROG 枪神8 Plus,电脑,12999.0,777,i9-14900HX+RTX 5080，18英寸2.5K 240Hz，旗舰电竞本,"{""处理器"": ""i9-14900HX"", ""内存"": ""32GB"", ""存储"": ""2TB SSD"", ""显卡"": ""RTX 5080"", ""屏幕"": ""18英寸2.5K 240Hz""}"
PHONE-008,华为 Pura 80 Ultra,手机,7999.0,895,双卫星通信，超豪影像配置，Ultra级体验，顶级旗舰,"{""处理器"": ""麒麟9010"", ""屏幕"": ""6.9英寸OLED"", ""特色"": ""双卫星通信"", ""定位"": ""超高端""}"
FOOD-022,土猪五花肉 3斤装,食品生鲜,79.0,962,散养土猪，肥瘦相间，红烧肉梅菜扣肉首选,"{""规格"": ""1500g"", ""部位"": ""五花肉"", ""猪种"": ""土猪"", ""保存"": ""冷冻""}"
HOME-001,戴森 V15 Detect 吸尘器,家用电器,4299.0,2,激光探测微尘，压电式声学传感器，LCD屏幕实时显示吸入颗粒,"{""颜色"": ""金色"", ""续航"": ""60分钟"", ""吸力"": ""230AW"", ""特色"": ""激光探测""}"
PC-010,联想小新Pro 14 2025,电脑,5499.0,938,酷睿Ultra处理器，2.8K高刷屏，大电池长续航，爆款轻薄本,"{""处理器"": ""酷睿Ultra 5 125H"", ""内存"": ""16GB"", ""存储"": ""1TB SSD"", ""屏幕"": ""14英寸2.8K 120Hz"", ""电池"": ""75Wh""}"
PC-016,联想拯救者 R9000P 2025 AI元启,电脑,17499.0,425,R9-8945HX处理器，RTX 5070显卡，2.5K 240Hz，旗舰游戏本,"{""处理器"": ""R9 8945HX"", ""内存"": ""32GB"", ""存储"": ""1TB SSD"", ""显卡"": ""RTX 5070"", ""屏幕"": ""16英寸2.5K 240Hz""}"
DIGI-004,索尼 WF-1000XM5,数码,1999.0,623,业界领先降噪，HD降噪处理器，音质通透均衡，旗舰级TWS耳机,"{""颜色"": ""黑色"", ""连接方式"": ""蓝牙5.3"", ""续航"": ""8小时(ANC开启)"", ""编码"": ""LDAC""}"
PC-004,MacBook Pro 16 M4 Max,电脑,26999.0,49,M4 Max芯片，64GB统一内存，专业级视频剪辑3D渲染,"{""处理器"": ""Apple M4 Max"", ""内存"": ""64GB"", ""存储"": ""1TB SSD"", ""屏幕"": ""16.2英寸XDR"", ""定位"": ""专业创作""}"
DIGI-015,华为 WATCH GT 5 Pro,数码,2488.0,937,精准心率血氧监测，多项健康监测获医疗认证，专业运动手表,"{""表盘尺寸"": ""48mm"", ""续航"": ""21天"", ""特色"": ""医疗级健康监测"", ""材质"": ""钛金属""}"
PHONE-014,Redmi K80,手机,2499.0,408,骁龙8 Gen3，2K直屏，旗舰性能下放，性价比之王,"{""处理器"": ""骁龙8 Gen3"", ""屏幕"": ""6.67英寸2K"", ""存储"": ""12+256GB"", ""电池"": ""6000mAh""}"
FOOD-016,新疆鲜剥核桃仁 100g,食品生鲜,25.9,160,新鲜核桃脆嫩清甜，莲子般的甜感，营养健康零食,"{""规格"": ""100g/盒"", ""产地"": ""新疆"", ""特色"": ""鲜剥"", ""口感"": ""脆嫩清甜""}"
PC-021,戴尔XPS 13 Plus,电脑,11999.0,21,13.4英寸4K触控屏，极简设计，旗舰轻薄本,"{""处理器"": ""酷睿Ultra 7 155H"", ""内存"": ""16GB"", ""存储"": ""512GB SSD"", ""屏幕"": ""13.4英寸4K触控"", ""重量"": ""1.26kg""}"
CLOTH-006,骆驼疾风运动鞋 男款,服装鞋帽,309.0,392,2026春夏透气男鞋，防滑跑步鞋，休闲运动百搭,"{""颜色"": ""黑色"", ""尺码"": ""42"", ""鞋底"": ""防滑橡胶"", ""特色"": ""透气网面""}"
FOOD-008,江西赣南脐橙 10斤装,食品生鲜,39.9,549,正宗赣南脐橙，皮薄多汁，维C丰富，冬日必备水果,"{""产地"": ""江西赣南"", ""规格"": ""10斤装"", ""果径"": ""70mm+"", ""特色"": ""多汁""}"
FOOD-027,农夫山泉天然水 550ml×24瓶,食品生鲜,29.9,989,天然弱碱性水，清甜甘冽，整箱囤货家庭必备,"{""规格"": ""550ml×24瓶"", ""水源"": ""天然水源"", ""pH值"": ""弱碱性"", ""品牌"": ""农夫山泉""}"
FOOD-011,新希望雪兰高原牧场纯牛奶 整箱,食品生鲜,101.9,870,云南高原牧场奶源，入口丝滑醇厚，奶香自然清甜,"{""规格"": ""200g×10盒×4提"", ""产地"": ""云南"", ""脂肪含量"": ""全脂"", ""保质期"": ""6个月""}"
FOOD-009,智利无核大西梅 200g,食品生鲜,19.99,626,智利进口，独立小包装，果肉厚实，酸甜助消化,"{""产地"": ""智利"", ""规格"": ""200g/袋"", ""包装"": ""独立小包"", ""特色"": ""无核""}"
DIGI-026,罗技 MX Keys S 无线键盘,数码,799.0,972,背光按键，智能感应，多设备切换，办公高效键盘,"{""按键数"": ""108键"", ""连接方式"": ""蓝牙/接收器"", ""续航"": ""10天(背光开)"", ""特色"": ""智能背光""}"
CLOTH-007,骆驼山海运动鞋 女款,服装鞋帽,339.0,268,复古德训鞋，休闲板鞋，2026春夏新款，百搭好看,"{""颜色"": ""米白"", ""尺码"": ""37"", ""风格"": ""复古德训"", ""鞋底"": ""橡胶底""}"
HOME-028,格力 1.5匹变频空调,家用电器,2999.0,961,一级能效，变频节能，冷静王系列，卧室首选,"{""匹数"": ""1.5匹"", ""能效"": ""一级"", ""制冷量"": ""3500W"", ""特色"": ""变频节能""}"
CLOTH-021,优衣库UT联名款T恤,服装鞋帽,99.0,833,联名印花，纯棉舒适，潮流设计，夏季必备短袖,"{""颜色"": ""多色"", ""尺码"": ""S-XXL"", ""材质"": ""100%棉"", ""系列"": ""UT联名""}"
CLOTH-011,波司登男士羽绒服 短款,服装鞋帽,899.0,25,90%白鸭绒，防风保暖，商务休闲百搭，冬季必备,"{""颜色"": ""藏青"", ""尺码"": ""XL"", ""含绒量"": ""90%白鸭绒"", ""充绒量"": ""150g""}"
HOME-017,小米 净烟机P1,家用电器,2299.0,134,智能净烟，大吸力，米家APP互联，性价比油烟机,"{""排风量"": ""23m³/min"", ""风压"": ""900Pa"", ""特色"": ""智能净味"", ""互联"": ""米家APP""}"
PHONE-002,iPhone 17 Pro,手机,7999.0,444,A19 Pro芯片，专业相机升级，Action按钮，Pro级性能,"{""处理器"": ""A19 Pro"", ""屏幕"": ""6.3英寸OLED"", ""存储"": ""128GB起"", ""电池"": ""3582mAh""}"
PC-002,MacBook Air M3 15英寸,电脑,10499.0,800,M3芯片，大屏轻薄，18小时续航，影音办公俱佳,"{""处理器"": ""Apple M3"", ""内存"": ""8GB"", ""存储"": ""256GB SSD"", ""屏幕"": ""15.3英寸视网膜屏"", ""重量"": ""1.51kg""}"
DIGI-024,倍思 磁吸无线充电宝 10000mAh,数码,169.0,679,MagSafe磁吸无线充，15W无线快充，iPhone专用背夹电池,"{""容量"": ""10000mAh"", ""无线功率"": ""15W"", ""特色"": ""MagSafe磁吸"", ""重量"": ""220g""}"
PC-030,宏碁非凡Go Pro,电脑,4599.0,437,13代酷睿标压，2.8K OLED屏，轻至1.2kg，便携商务本,"{""处理器"": ""i5-13500H"", ""内存"": ""16GB"", ""存储"": ""512GB SSD"", ""屏幕"": ""14英寸2.8K OLED"", ""重量"": ""1.2kg""}"
HOME-008,美的 AK7 Pro 油烟机,家用电器,1800.0,861,大吸力侧吸油烟机，智能挥手控制，自清洁，厨房好帮手,"{""排风量"": ""22m³/min"", ""风压"": ""480Pa"", ""控制"": ""挥手智控"", ""清洗"": ""高温自清洁""}"
PC-019,机械革命极光X,电脑,7299.0,147,酷睿i7+RTX 4070，超高性价比，性能释放强劲,"{""处理器"": ""i7-13700H"", ""内存"": ""16GB"", ""存储"": ""1TB SSD"", ""显卡"": ""RTX 4070"", ""屏幕"": ""15.6英寸2.5K""}"
PHONE-019,OPPO Reno 13,手机,2499.0,118,潮流设计，人像拍摄，轻薄手感，中端热销机型,"{""处理器"": ""天玑8200"", ""屏幕"": ""6.67英寸OLED"", ""存储"": ""12+256GB"", ""电池"": ""4800mAh""}"
PHONE-006,华为 Mate 80 Pro,手机,5999.0,65,麒麟9020芯片，红枫主摄+潜望长焦，卫星通信，旗舰影像,"{""处理器"": ""麒麟9020"", ""屏幕"": ""6.8英寸OLED曲屏"", ""存储"": ""12+256GB"", ""特色"": ""双卫星通信""}"
CLOTH-029,回力 经典帆布鞋,服装鞋帽,129.0,917,国货经典，帆布鞋百搭舒适，学生党必备小白鞋,"{""颜色"": ""白色"", ""尺码"": ""42"", ""材质"": ""帆布+橡胶底"", ""品牌"": ""回力""}"
DIGI-008,OPPO Enco Air 3,数码,299.0,352,半入耳式独立空间音效，轻量佩戴，高颜值，学生党首选,"{""颜色"": ""冰釉白"", ""连接方式"": ""蓝牙5.3"", ""续航"": ""6小时"", ""佩戴方式"": ""半入耳""}"
DIGI-009,漫步者 FitClip Ultra 耳夹式耳机,数码,499.0,253,C形耳夹设计超贴合，5.4g轻量无感，AI同声翻译，运动不掉,"{""颜色"": ""黑色"", ""连接方式"": ""蓝牙5.4"", ""续航"": ""8小时"", ""佩戴方式"": ""耳夹式""}"
DIGI-020,小米小爱音箱 Pro,数码,299.0,454,360°环绕立体声，小爱同学语音助手，智能家居控制中心,"{""颜色"": ""黑色"", ""功率"": ""12W"", ""连接方式"": ""蓝牙/WiFi"", ""特色"": ""语音助手""}"
PHONE-017,OPPO Find X8 Pro,手机,5299.0,258,天玑9400旗舰芯片，哈苏人像，水桶旗舰，影像性能兼备,"{""处理器"": ""天玑9400"", ""屏幕"": ""6.78英寸OLED"", ""存储"": ""12+256GB"", ""电池"": ""5500mAh""}"
CLOTH-028,蕉下 防晒帽 空顶帽,服装鞋帽,199.0,831,大帽檐遮阳，UPF50+防紫外线，夏季女士防晒神器,"{""颜色"": ""米色"", ""尺码"": ""可调节"", ""防晒指数"": ""UPF50+"", ""款式"": ""空顶帽""}"
FOOD-010,伽师瓜 2个装,食品生鲜,39.9,767,新疆伽师瓜，脆甜多汁，哈密瓜中的极品,"{""产地"": ""新疆伽师"", ""规格"": ""2个约8斤"", ""品种"": ""伽师瓜"", ""口感"": ""脆甜""}"
PHONE-007,华为 Pura 80 Pro,手机,5499.0,883,一英寸主摄，影像旗舰，首发HarmonyOS 5.1，拍照天花板,"{""处理器"": ""麒麟9010"", ""屏幕"": ""6.8英寸OLED"", ""主摄"": ""1英寸大底"", ""特色"": ""影像旗舰""}"
PC-008,华为 MateBook D 16,电脑,3799.0,329,16英寸护眼大屏，数字小键盘，学生办公性价比之选,"{""处理器"": ""i5-13420H"", ""内存"": ""16GB"", ""存储"": ""512GB SSD"", ""屏幕"": ""16英寸护眼屏"", ""特色"": ""数字小键盘""}"
CLOTH-024,优衣库 弹力修身牛仔裤,服装鞋帽,299.0,418,高弹力舒适面料，修身版型，通勤休闲两相宜,"{""颜色"": ""黑色"", ""尺码"": ""M"", ""版型"": ""修身"", ""特色"": ""高弹力""}"
PC-026,华硕无双 15.6,电脑,4299.0,443,120Hz OLED高刷屏，标压处理器，高性能轻薄本,"{""处理器"": ""i5-12500H"", ""内存"": ""16GB"", ""存储"": ""512GB SSD"", ""屏幕"": ""15.6英寸120Hz OLED"", ""特色"": ""OLED屏""}"
HOME-013,海尔 6.5公斤全自动波轮洗衣机,家用电器,779.0,819,桶自洁，漂甩合一，童锁保护，租房宿舍首选,"{""容量"": ""6.5kg"", ""类型"": ""波轮"", ""特色"": ""桶自洁"", ""能效"": ""三级""}"
CLOTH-012,高梵女士羽绒服 中长款,服装鞋帽,699.0,90,收腰显瘦设计，90%白鸭绒，时尚保暖，女士冬季首选,"{""颜色"": ""米白"", ""尺码"": ""M"", ""含绒量"": ""90%白鸭绒"", ""款式"": ""中长款收腰""}"
HOME-023,海尔 除螨仪 紫外线杀菌,家用电器,299.0,19,紫外线杀菌除螨，大吸力热风除湿，床上清洁神器,"{""功率"": ""400W"", ""杀菌方式"": ""紫外线"", ""特色"": ""热风除湿"", ""重量"": ""1.8kg""}"
FOOD-013,广西左江水牛奶 纯牛奶,食品生鲜,44.0,476,水牛奶营养更丰富，口感醇厚香浓，奶味十足,"{""规格"": ""200ml×10盒"", ""产地"": ""广西"", ""奶源"": ""水牛奶"", ""蛋白质"": ""3.9g/100ml""}"
DIGI-011,Apple AirPods Max,数码,3599.0,846,双降噪芯片智能降噪，多点连接，智能免摘，苹果旗舰头戴耳机,"{""颜色"": ""深空灰"", ""连接方式"": ""蓝牙5.3"", ""续航"": ""20小时"", ""特色"": ""空间音频""}"
HOME-025,海尔 智能晾衣机,家用电器,1999.0,854,电动升降，LED照明，遥控控制，阳台智能晾晒,"{""承重"": ""35kg"", ""照明"": ""LED平板灯"", ""控制"": ""无线遥控"", ""特色"": ""遇阻即停""}"
PC-018,华硕天选5 Pro,电脑,6999.0,842,锐龙9处理器，RTX 4060显卡，2.5K 165Hz，二次元游戏本,"{""处理器"": ""R9-8940H"", ""内存"": ""16GB"", ""存储"": ""1TB SSD"", ""显卡"": ""RTX 4060"", ""屏幕"": ""16英寸2.5K 165Hz""}"
HOME-024,海尔 纤薄大彩屏管线机,家用电器,1499.0,646,即热即饮，多档调温，壁挂式，搭配净水器使用,"{""加热方式"": ""即热式"", ""调温档位"": ""6档"", ""安装"": ""壁挂式"", ""屏幕"": ""彩屏触控""}"
PHONE-009,华为 nova 16,手机,2999.0,240,轻薄颜值旗舰，前置人像大师，年轻时尚，自拍神器,"{""处理器"": ""麒麟8000"", ""屏幕"": ""6.78英寸OLED"", ""前置"": ""6000万人像"", ""重量"": ""188g""}"
HOME-030,苏泊尔 电压力锅 5L,家用电器,329.0,981,5L大容量，球釜内胆，一键排气，多功能高压饭煲,"{""容量"": ""5L"", ""内胆"": ""球釜"", ""压力"": ""100kPa"", ""功能"": ""12种菜单""}"
CLOTH-001,Nike Air Max 270 运动鞋,服装鞋帽,899.0,325,经典气垫缓震，透气网面鞋身，适合日常跑步和休闲穿搭,"{""颜色"": ""黑色"", ""尺码"": ""42"", ""材质"": ""网面+合成革"", ""科技"": ""Air Max气垫""}"
FOOD-024,挪威进口三文鱼 刺身级 500g,食品生鲜,128.0,411,挪威深海三文鱼，刺身级品质，新鲜空运，营养丰富,"{""规格"": ""500g"", ""产地"": ""挪威"", ""等级"": ""刺身级"", ""部位"": ""中段""}"
CLOTH-015,PUMA彪马长款羽绒服,服装鞋帽,959.0,814,加厚保暖简约长款，防风外套，男女同款运动羽绒服,"{""颜色"": ""黑色"", ""尺码"": ""L"", ""含绒量"": ""80%灰鸭绒"", ""款式"": ""长款过膝""}"
